Player Name,Teammate(s) Name,"Maps played
 (No. of maps
 played in)","Rounds played
 (No. of rounds
 played in)","K-D Diff
 (No. of Kills completed
 - No. of times player died)","K/D Ratio
 (No. of Kills completed /
 No. of times player died)","Rating
 (1.0)"
FaNg,"['Complexity', 'Extra Salt']",743,19379,518,1.04,1.02
Jyo,['Nemiga'],1248,33463,1169,1.05,1.02
queztone,['eXtatus'],709,18569,235,1.02,1.02
glowiing,"['1WIN', 'Trident', 'Cyber Legacy']",585,15672,155,1.01,1.02
ROBO,['Nemiga'],667,17746,628,1.05,1.02
steel,"['Chaos', 'Ghost', 'Torqued']",617,16290,261,1.02,1.02
fr0slev,"['AGF', 'Fragsters']",611,15973,470,1.04,1.02
KalubeR,"['Partizan', 'FATE', 'SKADE']",413,11133,271,1.04,1.02
LETN1,"['Valiance', 'Binary Dragons', 'iNation', 'CR4ZY']",1111,28880,1164,1.06,1.02
TENZKI,"['Nordavind', 'Dignitas']",1504,39564,1333,1.05,1.02
flamie,"['Natus Vincere', '1WIN']",1709,45254,1196,1.04,1.02
Spongey,"['Bad News Bears', 'Triumph']",843,21895,1017,1.08,1.02
fox,"['Giants', 'k1ck', 'Kinguin', 'OFFSET']",1058,27636,523,1.03,1.02
n0thing,"['Cloud9', 'Complexity']",813,21021,484,1.03,1.02
aidKiT,['BLUEJAYS'],457,12227,384,1.05,1.02
F1KU,"['OG', 'AGO']",695,18903,267,1.02,1.02
roca,"['Splyce', 'Echo Fox', 'Complexity', 'ELEVATE']",660,17324,195,1.02,1.02
j3kie,"['IKLA', 'Akuma', 'Iron Branch', 'Run or Die']",398,10740,148,1.02,1.02
Krad,"['Entropiq', 'DreamEaters', 'Hard Legion']",1309,34996,591,1.03,1.02
NBK-,"['Envy', 'G2', 'Vitality', 'OG', 'VeryGames']",2171,56999,1010,1.03,1.01
sLowi,['HAVU'],1210,32474,618,1.03,1.01
mar,"['FATE', 'Finest']",767,20359,415,1.03,1.01
flickz,"['Chiefs', 'Athletico', 'Dark Sided']",462,11642,354,1.05,1.01
Zyphon,"['Copenhagen Flames', 'Sprout']",521,13872,369,1.04,1.01
chrisJ,['MOUZ'],1727,45400,1085,1.04,1.01
iDk,"['TeamOne', 'Paquetá', 'Yeah']",986,25681,635,1.04,1.01
xCeeD,"['The Quest', 'Triumph', 'SoaR']",457,11806,173,1.02,1.01
yel,"['Luminosity', 'INTZ', 'MIBR']",970,25169,1016,1.06,1.01
Tuurtle,"['MIBR', 'DETONA', 'Bravos', 'C4']",883,23224,487,1.03,1.01
b0RUP,"['Tricked', 'Heroic', 'MAD Lions']",1524,40547,573,1.02,1.01
Xyp9x,"['Astralis', 'TSM']",2076,54267,2216,1.07,1.01
Lekr0,"['Ninjas in Pyjamas', 'Dignitas', 'fnatic', 'GODSENT']",1307,34928,814,1.03,1.01
desi,"['Winterfox', 'Complexity', 'SKDC']",430,10986,99,1.01,1.01
es3tag,"['Heroic', 'Tricked', 'Ninjas in Pyjamas']",1378,36090,817,1.03,1.01
Plopski,"['Ninjas in Pyjamas', 'x6tence Galaxy', 'Singularity']",1080,28625,789,1.04,1.01
1962,"['Isurus', 'Leviatan']",586,15244,17,1,1.01
MisteM,['ATK'],464,12092,102,1.01,1.01
EasTor,"['Movistar Riders', 'OFFSET']",503,13375,378,1.04,1.01
mitch,"['Selfless', 'Bad News Bears', 'Dignitas', 'Riot Squad']",807,20719,632,1.05,1.01
tatazin,"['paiN', 'Wild', 'Yeah', 'BigGods']",821,21516,1035,1.08,1.01
roseau,"['Recca', 'nxl']",418,10537,84,1.01,1.01
Maikelele,"['NoChance', 'GODSENT']",1075,28357,941,1.05,1.01
Noobster,"['Ground Zero', 'Paradox', 'SYF']",496,12790,203,1.02,1.01
Viva,"['Invictus', '5POWER', 'CyberZen']",597,15834,480,1.05,1.01
byali,"['Virtus.pro', 'AVEZ']",1957,51488,1309,1.04,1.01
obj,"['OFFSET', 'eXploit', 'Giants', 'AlienTech']",418,10936,423,1.06,1.01
Nodios,"['Tricked', 'Copenhagen Flames', 'x6tence']",890,23942,650,1.04,1.01
shokz,"['Movistar Riders', 'Finest']",735,19722,422,1.03,1.01
spyleadeR,"['E-frag.net', 'MK', 'GPlay']",900,23255,83,1,1.01
stadodo,"['FTW', 'SAW', 'OFFSET']",867,22941,695,1.05,1.01
PlesseN,"['Galaxy Racer', 'Chaos', 'Japaleno', 'Red Reserve', 'fnatic Academy']",1404,37789,128,1,1.01
kreaz,"['Finest', 'Apeks']",783,20866,586,1.04,1.01
Jinxx,"['Genuine', 'Taboo', 'Chiefs']",407,10684,305,1.04,1.01
mirbit,"['ALTERNATE aTTaX', 'EURONICS', 'Sprout', 'Nordavind']",866,23162,926,1.06,1.01
NENO,"['Binary Dragons', 'Valiance']",704,18205,526,1.04,1.01
hampus,"['Ninjas in Pyjamas', 'GamerLegion', 'Red Reserve', 'GODSENT']",1418,37698,195,1.01,1.01
szejn,"['Izako Boars', 'MOUZ NXT']",590,15762,179,1.02,1.01
JDC,"['MOUZ', 'MOUZ NXT', 'expert', 'Unicorns of Love', 'PANTHERS']",585,15354,207,1.02,1.01
Norwi,"['forZe', 'Trident']",491,13221,277,1.03,1.01
SHOCK,['SINNERS'],888,23849,510,1.03,1.01
Friis,"['SK', 'fnatic', 'Heroic', 'Tricked']",938,24254,747,1.05,1.01
Polt,"['1WIN', 'Unique']",537,14234,450,1.05,1.01
dazzLe,"['eUnited', 'Rise Nation', 'New Identity']",690,17971,-8,1,1.01
ayaya,"['Eclipse', 'Born Of Fire', 'Flash', 'AllGamers']",462,11695,102,1.01,1.01
apEX,"['Vitality', 'Envy', 'G2', 'Titan']",2089,54882,286,1.01,1.01
GruBy,"['AGO', 'UNGENTIUM']",1804,47970,569,1.02,1.01
Svedjehed,"['Lilmix', 'EYEBALLERS']",465,12647,296,1.04,1.01
HUGHMUNGUS,"['Chiefs', 'Legacy', 'Genuine', 'Funky Monkeys']",823,21329,435,1.03,1.01
Stewie2K,"['Cloud9', 'Liquid']",1525,39802,376,1.01,1.01
kalinka,"['HellRaisers', 'Playing Ducks']",855,22891,157,1.01,1.01
grux,"['Savage', 'Red Reserve', 'SMASH']",496,13236,230,1.03,1.01
SIXER,"['LDLC', 'Envy']",1150,30363,1221,1.06,1.01
to1nou,"['LDLC', 'LDLC White']",850,22377,520,1.04,1.01
delboNi,"['Imperial', 'Case', 'Yeah']",588,15279,259,1.03,1.01
clax,"['Trident', 'K23', 'Cyber Legacy', 'Singularity', 'EXTREMUM']",460,12263,275,1.03,1.01
jR,"['Vega Squadron', 'HellRaisers']",892,23804,554,1.04,1.01
DickStacy,"['Grayhound', 'Dark Sided']",625,15744,343,1.03,1.01
DESPE,['Space Soldiers'],468,12127,320,1.04,1.01
kioShiMa,"['Envy', 'Heretics', 'FaZe']",1495,39250,1292,1.05,1.01
pesadelo,"['TeamOne', 'RED Canids']",730,19030,36,1,1.01
capseN,"['ECLOT', 'Brute']",477,12701,475,1.06,1.01
FugLy,"['NRG', 'Liquid', 'Envy']",1083,28153,621,1.03,1.01
emagine,"['ORDER', 'Kings', 'Winterfox', 'Immunity']",751,18931,487,1.04,1.01
Nifty,"['Renegades', 'Envy', 'Selfless']",865,22686,310,1.02,1.01
J0LZ,"['Strife', 'OCG']",493,13009,93,1.01,1.01
MINISE,"['PACT', 'PRIDE', 'Kinguin']",1871,49905,605,1.02,1
reatz,"['PRIDE', 'Illuminar', 'Kinguin']",1579,42452,659,1.02,1
waterfaLLZ,"['Quantum Bellator Fire', 'PiTER', 'AVE', 'EPG']",906,24053,338,1.02,1
HexT,"['RBG', 'Carpe Diem']",557,14765,158,1.02,1
Zero,"['SINNERS', 'GamerLegion', 'HellRaisers']",1218,32433,944,1.05,1
ap0c,"['AVANT', 'Tainted Minds', 'Looking For Org', 'Chiefs']",950,24314,138,1.01,1
pounh,"['Playing Ducks', 'Imperial', '1337HUANIA']",401,10552,91,1.01,1
Edward,['Natus Vincere'],1495,39373,773,1.03,1
arT,['FURIA'],1050,27291,-11,1,1
Relyks,"['eUnited', 'Enemy', 'Selfless', 'New Identity']",832,21258,161,1.01,1
zqkS,"['Imperial', 'Yeah', 'Keyd']",824,21359,721,1.05,1
glace,"['North Academy', 'Tricked', 'Rogue', 'No Problem!']",589,15307,366,1.04,1
Oderus,"['Spacestation', 'BlackOut', 'The Pioneers']",473,12356,-52,0.99,1
1uke,"['Spirit Academy', 'HOLLYWOOD', 'PLINK']",623,16179,223,1.02,1
almazer,['forZe'],1334,35805,624,1.03,1
innocent,"['Anonymo', 'Illuminar']",1865,49333,471,1.01,1
xseveN,"['HAVU', 'ENCE', 'iGame.com']",1392,37013,481,1.02,1
kenzor,['pro100'],605,15796,57,1.01,1
hazed,"['CLG', 'Mythic']",736,19138,-81,0.99,1
xiaosaGe,"['5POWER', 'Invictus', 'UYA']",847,22333,35,1,1
CYPHER,['Into the Breach'],406,11054,-83,0.99,1
cbbk,"['Lucid Dream', 'Beyond']",404,10342,163,1.02,1
speed4k,"['DreamEaters', 'Nemiga']",840,22566,527,1.04,1
ImpressioN,"['BOOT-d[S]', 'BTRG', 'NKT', 'dream[S]cape']",684,17721,131,1.01,1
KILLDREAM,"['AlienTech', 'k1ck', 'Giants']",429,11159,-16,1,1
RoLEX,"['Signature', 'ZIGMA', 'Beyond', 'MiTH']",492,12610,33,1,1
magixx,['Spirit'],707,18734,415,1.04,1
zeff,['MVP PK'],482,12229,54,1.01,1
R0b3n,"['Unique', 'Space Jam', 'ex-ETHEREAL']",530,13950,208,1.02,1
cromen,['Nordavind'],653,17335,67,1.01,1
adreN,"['Liquid', 'Mythic']",697,18241,380,1.03,1
dzt,"['Imperial', 'Case', 'BigGods']",720,18637,144,1.01,1
Basso,['Copenhagen Flames'],600,15732,268,1.03,1
Tsogoo,"['Mazaalai', 'TheMongolz']",502,12846,75,1.01,1
void,"['Ground Zero', 'Dark Sided']",437,11368,127,1.02,1
pyth,"['Ninjas in Pyjamas', 'Vexed']",756,19801,-5,1,1
MODDII,"['Heroic', 'SK']",1170,30550,401,1.02,1
cam,"['Singularity', 'Gorilla Gang', 'Chaos']",544,13974,169,1.02,1
wiz,"['RBG', 'Carpe Diem', 'EG Black']",596,15791,376,1.04,1
Noktse,['Isurus'],872,22819,287,1.02,1
supra,"['Gambit Youngsters', 'Nordavind']",578,15542,77,1.01,1
fenvicious,"['Unique', 'Spirit Academy', 'EPG']",751,19647,45,1,1
deco,"['Isurus', 'Malvinas']",454,12077,96,1.01,1
mds,['Nemiga'],1188,31803,451,1.02,1
vice,"['Rogue', 'Cloud9']",493,12707,128,1.01,1
ragga,"['Nexus', 'Infinite']",456,12374,-29,1,1
SZPERO,"['Wisla Krakow', 'Kinguin', 'AGO']",2154,57062,762,1.02,1
STYKO,"['Apeks', 'HellRaisers', 'MOUZ', 'GODSENT']",1667,44088,421,1.01,1
Vegi,"['Anonymo', 'Virtus.pro', 'PACT', 'Illuminar']",885,24312,-128,0.99,1
Bååten,"['x6tence Galaxy', 'Red Reserve', 'fnatic Academy', 'Chaos']",743,19804,20,1,0.99
morelz,"['Illuminar', 'PRIDE', 'Virtus.pro']",1209,32192,-104,1,0.99
kyxsan,['BLUEJAYS'],459,12265,32,1,0.99
freddieb,"['Epsilon', 'GODSENT', 'Red Reserve']",1135,30119,180,1.01,0.99
Cabbi,"['ECSTATIC', 'Lyngby Vikings', 'AGF', 'MASONIC']",616,16526,-238,0.98,0.99
SEMPHIS,"['Splyce', 'TSM', 'Complexity']",848,21936,-33,1,0.99
dephh,['Complexity'],768,20106,-232,0.98,0.99
leo_drk,"['Sharks', '00NATION']",628,16205,-50,1,0.99
siuhy,"['GamerLegion', 'Izako Boars', 'MOUZ NXT']",603,16214,-103,0.99,0.99
YDNA,"['Breakaway', 'Funky Monkeys', 'Dark Sided']",435,11265,103,1.01,0.99
Lack1,"['Entropiq', 'Winstrike']",987,26495,-94,0.99,0.99
JIaYm,"['HellRaisers', 'bankaPEPSI']",564,15304,-256,0.98,0.99
gMd,"['Rogue', 'FRENCH CANADIANS', 'LiViD', 'Spacestation']",464,12098,-47,0.99,0.99
ALEX,"['LDLC', 'Vitality', 'fnatic']",1162,30750,-372,0.98,0.99
robiin,"['Endpoint', 'DenDD']",1557,41473,-49,1,0.99
markeloff,"['FlipSid3', 'HellRaisers']",1146,29704,485,1.03,0.99
Puls3,"['Endpoint', 'FMESPORTS']",436,11572,74,1.01,0.99
neptune,"['Ghost', ""Bee's Money Crew"", 'Recon 5']",498,13218,-23,1,0.99
xelos,"['Lemondogs', 'Epsilon', 'AliGon']",438,11568,-8,1,0.99
rbz,"['Paradox', 'Corvidae']",647,16903,138,1.01,0.99
BENDJI,"['Singularity', 'DenDD']",878,23318,137,1.01,0.99
MUTiRiS,"['SAW', 'k1ck', 'Giants']",1353,35475,174,1.01,0.99
uli,['KOVA'],603,16107,167,1.02,0.99
viz,"['EG White', 'Triumph', 'Party Astronauts']",420,10894,101,1.01,0.99
realz1n,"['W7M', 'Sharks', 'B4', 'FURIA Academy']",634,16804,140,1.01,0.99
jaxi,['Nexus'],472,12125,183,1.02,0.99
truth,['Apeks'],518,13914,-4,1,0.99
mopoz,['Movistar Riders'],1206,32051,-245,0.99,0.99
facecrack,"['forZe', 'PiTER']",1745,46552,-678,0.98,0.99
BARBARR,"['Epsilon', 'x6tence Galaxy', 'Singularity']",876,23180,-20,1,0.99
roman,"['SAW', 'k1ck', 'Giants']",1247,32712,52,1,0.99
chop,"['RBG', 'Carpe Diem', 'Kinship']",542,14408,48,1,0.99
Liki,"['Looking For Org', 'Dire Wolves']",417,10574,172,1.03,0.99
Jerry,['forZe'],1729,46610,184,1.01,0.99
jabbi,"['Heroic', 'Copenhagen Flames', 'Singularity']",872,23343,168,1.01,0.99
bodyy,"['G2', 'DBL PONEY', 'HEET']",1446,38487,-128,1,0.99
ANGE1,['HellRaisers'],1728,45027,-685,0.98,0.99
kaboose,"['Selfless', 'Vision']",549,14235,-305,0.97,0.99
VINI,"['Imperial', 'FURIA']",1035,27091,-40,1,0.99
freakazoid,"['Swole Patrol', 'Cloud9', 'Echo Fox']",940,24184,-158,0.99,0.99
Dimaoneshot,"['Spirit', 'Espada']",1315,34605,-550,0.98,0.99
Drone,"['Splyce', 'Envy']",454,11841,-168,0.98,0.99
ALLE,"['Paquetá', 'Liberty', 'Isurus', 'Redemption POA', 'C4']",515,13624,59,1.01,0.99
vanity,"['Chaos', 'eUnited', 'Gorilla Gang']",609,15688,80,1.01,0.99
AZR,"['Renegades', '100 Thieves']",1115,29102,-136,0.99,0.99
fitch,"['AVANGAR', 'Tengri', 'Gambit']",574,15207,-210,0.98,0.99
Djoko,"['HEET', 'DBL PONEY']",603,16064,-181,0.98,0.99
k1to,"['BIG', 'ALTERNATE aTTaX', 'Sprout']",1364,36301,-466,0.98,0.99
gade,"['North', 'North Academy', 'OpTic']",964,25326,-128,0.99,0.99
nbqq,['ECLOT'],405,10737,-91,0.99,0.99
nitr0,['Liquid'],1493,39062,181,1.01,0.99
krii,"['Wolsung', 'EPG']",434,11437,-4,1,0.99
SAGGERTON,"['iGame.com', 'RCTIC', 'LGR']",540,14097,-231,0.98,0.99
dukefissura,"['100PG', 'Unique']",394,10562,-170,0.98,0.99
bq,['Lilmix'],442,11874,-151,0.98,0.99
Lukki,"['Tricked', 'AGF', 'Singularity']",893,23437,-9,1,0.99
Dosia,"['Gambit', 'HellRaisers']",1450,38010,213,1.01,0.99
ryotzz,['W7M'],447,11613,-154,0.98,0.99
apocdud,"['VERTEX', 'Chiefs', 'Genuine']",772,19932,-63,1,0.99
NEKIZ,"['paiN', 'Luminosity']",1024,26937,-136,0.99,0.99
J1rah,"['ORDER', 'Breakaway']",803,20826,-29,1,0.98
DAVEY,"['Splyce', 'Mythic']",801,20713,-294,0.98,0.98
Stev0se,['EC Brugge'],476,12632,-116,0.99,0.98
djay,"['Party Astronauts', 'New England Whalers']",926,23937,-77,1,0.98
stellar,"['Party Astronauts', 'Vireo.pro', 'Divine', 'AA']",427,10968,26,1,0.98
Xizt,"['Ninjas in Pyjamas', 'fnatic']",1665,42830,507,1.02,0.98
kory,"['Sangal', 'Budapest Five', 'Salamander']",618,16587,-114,0.99,0.98
bubble,"['Windigo', 'E-frag.net', 'Fiend', 'SKADE']",2293,60236,407,1.01,0.98
Jonji,"['Bad News Bears', 'Rise Nation', 'Chaos']",1121,28701,-517,0.97,0.98
RUBINO,"['Dignitas', 'Nordavind', 'LGB']",998,26140,-170,0.99,0.98
AdreN,"['Gambit', 'HellRaisers', 'K23']",1767,46454,-217,0.99,0.98
ryann,"['Singularity', 'Swole Patrol', 'Envy', 'Gorilla Gang']",697,17857,-269,0.98,0.98
Spiidi,"['Sprout', 'MOUZ']",2152,57281,239,1.01,0.98
Zix,['Bpro'],400,10329,-166,0.98,0.98
ZEDKO,"['SINNERS', 'eXtatus']",1285,34134,-2,1,0.98
larsen,"['Tricked', 'Movistar Riders']",623,16519,73,1.01,0.98
DeathZz,['Movistar Riders'],553,14739,17,1,0.98
DeadFox,['HellRaisers'],807,21060,-54,1,0.98
Furlan,['AGO'],2170,57770,-792,0.98,0.98
DemQQ,"['Monte', 'CR4ZY', 'Akuma', 'B8']",542,14309,-4,1,0.98
zende,"['DenDD', 'Property']",397,10444,-1,1,0.98
Daffu,"['Lyngby Vikings', 'ECSTATIC', 'Copenhagen Flames']",717,19219,103,1.01,0.98
Fadey,"['ATK', 'Bravado']",830,21364,-452,0.97,0.98
anger,"['Mythic', 'Winterfox', 'Denial', 'Luminosity']",682,17700,-229,0.98,0.98
propleh,"['1WIN', 'Monolith', 'Spartak']",419,11133,-35,1,0.98
reversive,"['Isurus', 'Leviatan']",690,18069,-50,1,0.98
tifa,"['Imperial', 'BigGods', 'Keyd']",407,10476,-109,0.98,0.98
jnt,['Sharks'],680,17620,203,1.02,0.98
raalz,"['Copenhagen Flames', 'Lyngby Vikings', 'Sprout', 'Ambush']",1071,29159,-233,0.99,0.98
sXe,"['Nexus', 'XPC']",605,15708,-157,0.99,0.98
JACKZ,"['G2', 'EnVyUs Academy', '3DMAX']",1181,31439,-323,0.98,0.98
Perfecto,"['Natus Vincere', 'Syman']",798,21129,406,1.03,0.98
gla1ve,"['Astralis', 'CPH Wolves']",1783,47003,-83,1,0.98
kwezz,['Tricked'],835,22466,-89,0.99,0.98
Ex3rcice,"['HEET', 'DBL PONEY']",429,11536,-53,0.99,0.98
prt,"['TeamOne', 'DETONA']",776,20127,-92,0.99,0.98
Llamas,"['Ground Zero', 'Breakaway', 'SYF']",459,11767,-35,1,0.98
manguss,['Enterprise'],406,10945,73,1.01,0.98
notaN,"['MASONIC', 'Singularity', 'OPAA']",586,15635,-78,0.99,0.98
syken,"['expert', 'EURONICS']",413,10832,-248,0.97,0.98
Sapec,"['EYEBALLERS', 'Young Ninjas']",594,15945,-370,0.97,0.98
BURNRUOk,"['Ground Zero', 'Grayhound', 'Immunity']",860,22168,-518,0.97,0.98
Radifaction,"['Secret', 'Nordavind', 'NoChance', 'Apeks']",509,13632,-162,0.98,0.98
NickelBack,"['Entropiq', 'pro100', 'Winstrike']",1476,39427,-183,0.99,0.98
BIT,"['TeamOne', '9z']",735,19001,47,1,0.98
Boombl4,"['Natus Vincere', 'Winstrike', 'Quantum Bellator Fire']",1093,28952,-432,0.98,0.98
WOOD7,"['Fluxo', 'Bravos', 'MIBR', 'RED Canids']",653,17109,332,1.03,0.98
Sergiz,"['CR4ZY', 'Project X', 'Akuma', 'Windigo Academy']",465,12322,98,1.01,0.98
PERCY,"['Secret', 'Sprout', 'Tricked']",1032,27424,-381,0.98,0.98
RuStY,"['GamerLegion', 'Singularity']",1466,39774,-169,0.99,0.98
RUSH,"['Cloud9', 'Complexity', 'OpTic']",1488,38941,-353,0.99,0.98
FinigaN,['Espada'],559,15049,112,1.01,0.98
ice,"['100PG', 'Unique', 'AVANGAR']",504,13509,-262,0.97,0.98
sinnopsyy,"['Bad News Eagles', 'BLINK', 'Secret']",743,19968,-622,0.96,0.98
blocker,"['Windigo', 'FATE', 'Bpro']",895,23790,-523,0.97,0.97
RpK,"['Vitality', 'Envy', 'Titan', 'G2']",1499,39100,-617,0.98,0.97
isak,"['GamerLegion', 'Lilmix']",666,18005,-141,0.99,0.97
SHOOWTiME,"['Luminosity', 'Imperial']",1041,26969,-421,0.98,0.97
doto,"['HAVU', 'ENCE']",765,20596,-338,0.98,0.97
mono,"['x-kom', 'Illuminar', 'Izako Boars']",665,17776,-24,1,0.97
jmqa,"['Quantum Bellator Fire', 'PiTER', 'EPG']",922,24189,-273,0.98,0.97
leman,['AGO'],578,15582,-192,0.98,0.97
DeStRoYeR,"['Invictus', 'EHOME', 'BOOT']",600,15845,-235,0.98,0.97
seb,"['Ghost', 'New Identity', ""Bee's Money Crew""]",603,15586,-224,0.98,0.97
prosus,"['BIG Academy', 'ALTERNATE aTTaX']",405,10677,-257,0.97,0.97
byr9,"['IKLA', 'EC Kyiv']",475,12950,-146,0.98,0.97
droid,"['Iron Blood', 'AA']",476,12255,-97,0.99,0.97
kUcheR,"['HellRaisers', 'Virtus.pro']",852,22314,-145,0.99,0.97
SPELLAN,"['SKADE', 'Outlaws', 'Windigo', 'Epsilon']",1482,38809,-359,0.99,0.97
stk,"['Beyond', 'Signature', 'Alpha Red']",591,15136,-223,0.98,0.97
oskarish,"['x-kom', 'Illuminar', 'Anonymo', 'AGO']",1122,30064,-400,0.98,0.97
ELUSIVE,['Bravado'],397,10059,56,1.01,0.97
SOKER,"['Movistar Riders', 'x6tence', 'k1ck']",645,16934,-442,0.96,0.97
f4stzin,"['Yeah', 'paiN']",399,10760,-319,0.96,0.97
DEVIL,"['LDLC', 'Envy', 'LDLC White', '3DMAX']",636,16582,-291,0.97,0.97
gabesson,"['GameAgents', 'volgare']",441,11654,-264,0.97,0.97
MAIROLLS,"['Alpha Red', 'Beyond', 'NSPR']",498,12894,-226,0.97,0.97
PKL,"['paiN', 'Luminosity', 'Wild']",1221,31922,-441,0.98,0.97
Mayker,"['Genuine', 'Chiefs', 'Surge']",433,11216,-220,0.97,0.97
PR1mE,['Tricked'],623,16823,-345,0.97,0.97
KHRN,"['SJ', 'HAVU']",935,24443,-245,0.98,0.97
Leaf,"['Lucid Dream', 'Maple', 'Signature']",398,10120,-71,0.99,0.97
Keoz,"['Syman', 'LDLC', 'K23']",906,24141,-802,0.95,0.97
reltuC,['CLG'],865,22664,-74,1,0.97
niki1,"['FATE', 'Bpro', 'Outlaws']",1142,29910,-647,0.97,0.97
Hyper,"['AGG', 'Vexed', 'Kinguin', 'Izako Boars']",646,16949,-167,0.99,0.96
chopper,"['Spirit', 'Vega Squadron']",1172,31096,-423,0.98,0.96
Queenix,"['ECSTATIC', 'MASONIC', 'x6tence']",620,16706,-234,0.98,0.96
Kristou,"['Astralis Talent', 'AGF', 'North']",481,12826,-342,0.96,0.96
LUCAS1,"['Immortals', 'Luminosity', 'MIBR', 'Tempo Storm']",943,24480,-481,0.97,0.96
The eLiVe,"['Enterprise', 'Universe']",617,16750,-274,0.98,0.96
SADDYX,['SJ'],653,17513,-341,0.97,0.96
Maniac,"['LDLC', 'Titan']",837,22049,-388,0.97,0.96
bodito,"['Budapest Five', 'Salamander', 'Pixel', 'ONYX', 'Sensei']",478,12798,-421,0.95,0.96
seized,['Natus Vincere'],1566,41279,-776,0.97,0.96
misutaaa,"['Falcons', 'Vitality']",577,15451,-368,0.96,0.96
kaper,"['AGO', 'Kinguin', 'Wisla Krakow', 'adwokacik']",536,14240,-168,0.98,0.96
SmithZz,"['G2', 'Titan', 'VeryGames', 'Envy', 'LDLC']",1168,30301,-563,0.97,0.96
expro,"['Lynn Vision', 'Invictus', 'EHOME']",498,13192,-274,0.97,0.96
Drea3er,"['New4', 'FIVE', 'BTRG']",418,10753,-374,0.95,0.96
stanislaw,"['Evil Geniuses', 'OpTic', 'Complexity', 'Liquid']",1411,36546,-483,0.98,0.96
phr,"['AGO', 'Illuminar']",1384,37015,-501,0.98,0.96
maeVe,"['Tricked', 'Escape', 'Reason']",487,12606,-131,0.98,0.96
Surreal,"['Endpoint', 'Epsilon', 'Complexity']",1633,42907,-881,0.97,0.96
w1nt3r,"['AVANGAR', '100PG', 'Unique', 'Se7en', 'BOOT-d[S]']",626,16747,-197,0.98,0.96
starix,"['Natus Vincere', 'Spirit']",640,16850,-311,0.97,0.96
HOLMES,['Squared'],462,12092,-367,0.96,0.96
JazzPimp,"['Recon 5', 'Gaimin Gladiators', 'ChocoCheck']",496,13025,-362,0.96,0.96
xms,"['Envy', 'Heretics', 'LDLC']",712,18783,-624,0.95,0.96
ProbLeM,"['HellRaisers', 'bankaPEPSI']",616,16718,-347,0.97,0.96
Uber,"['Enemy', 'Complexity', 'Selfless']",398,10027,-299,0.96,0.96
Marek,"['YK', 'EHOME', 'After']",439,11573,-265,0.97,0.96
Kairi,"['x6tence', 'PENTA']",407,10374,-236,0.97,0.96
glow,['MVP PK'],395,10045,-99,0.98,0.96
TMB,"['Copenhagen Flames', 'MAD Lions', 'AGF']",853,22897,-666,0.96,0.96
nafany,"['Gambit Youngsters', 'Gambit']",934,24838,-841,0.95,0.96
nosraC,"['Nouns', 'Rebirth', 'Gaimin Gladiators', 'ChocoCheck', 'Recon 5']",612,16200,-456,0.96,0.96
Kvik,"['Quantum Bellator Fire', 'Winstrike']",785,20509,-688,0.95,0.96
LOGAN,"['LDLC', 'Heretics']",590,15692,-300,0.97,0.96
smF,"['CPH Wolves', 'Secret']",838,21953,-382,0.97,0.96
Aleksib,"['OG', 'ENCE', 'HAVU']",1080,28650,-460,0.98,0.96
RZU,"['Triumph', 'Bad News Bears', 'Brazen']",502,13085,-554,0.94,0.96
tiziaN,"['BIG', 'ALTERNATE aTTaX']",1785,47248,-966,0.97,0.96
0i,"['Invictus', 'New4', 'FIVE', 'After']",492,12863,-437,0.95,0.96
ponczek,"['Wisla Krakow', 'UNGENTIUM']",585,15685,-248,0.98,0.96
nbl,['Isurus'],611,15786,-523,0.95,0.96
YJ,['W7M'],514,13425,-71,0.99,0.96
Walco,"['EG Black', 'RBG', 'Carpe Diem']",587,15560,-545,0.95,0.96
kinqie,"['DreamEaters', 'Hard Legion']",632,16798,-607,0.95,0.95
oxygeN,"['SKADE', 'OG Academy']",604,16295,-401,0.96,0.95
NEO,"['Virtus.pro', 'HONORIS']",2037,53165,-1558,0.96,0.95
dezon,"['Galaxy Racer', 'Savage', 'Japaleno']",555,14946,-248,0.97,0.95
SEMINTE,"['Nexus', 'XPC']",737,19460,-601,0.95,0.95
denis,"['Sprout', 'MOUZ']",1840,48974,-1863,0.95,0.95
MAJ3R,"['Space Soldiers', 'Sangal']",1134,29791,-623,0.97,0.95
alexRr,"['expert', 'Planetkey', 'DIVIZON']",433,11346,-554,0.93,0.95
dumz,"['DenDD', 'Singularity', 'Manatee']",455,12074,-320,0.96,0.95
tahsiN,"['PENTA', 'Berzerk', 'KILLERFISH']",606,15760,-671,0.94,0.95
Snappi,"['ENCE', 'Heroic', 'OpTic']",1663,43933,-1133,0.96,0.95
rafftu,"['SKADE', 'Bpro', 'FATE']",541,14489,-433,0.96,0.95
friberg,"['Ninjas in Pyjamas', 'Dignitas', 'Heroic']",1965,51191,-1729,0.95,0.95
Grus,"['Apeks', '777']",603,16427,-831,0.93,0.95
Console,"['Tricked', 'ALTERNATE aTTaX', 'Copenhagen Flames', 'Singularity']",708,18612,-582,0.95,0.95
CONNOR93,"['Ghost', ""Bee's Money Crew"", 'BlackOut', 'The Pioneers']",449,11544,-457,0.94,0.95
soju_j,"['Legacy', 'AVANT', 'Chiefs', 'Dire Wolves']",554,14231,-410,0.96,0.95
